8334,4223,6.8,3.8,4.8,1
8334,3250,7.2,1,6.3,3
8334,3285,5.8,3.5,5.7,3
8334,3005,8.9,1,2.1,2
8336,2907,7,5.8,3.9,3
8336,2459,6.2,5.4,5.9,3
8336,2922,3.5,6.7,7.4,6
8336,3593,5,5,5,4
8357,2713,9,1,5,1
8357,519,8.9,5.1,1.8,1
8357,481,5,5,5,3
8357,520,9,9,3.2,1
8357,545,8.8,8.9,1.2,1
8357,665,7.4,2,6.3,2
8358,4132,5,5,5,3
8358,3385,6.9,6.9,4.6,4
8358,3373,6.9,3.2,5,2
8358,3391,7.6,7.6,3.1,2
8359,3157,8.9,1,1.1,2
8359,1801,6.3,5.9,5.7,3
8359,3376,5,1,1,1
8359,3664,7.3,2.6,4.1,3
8362,615,9,1,5,1
8362,1269,9,9,8.7,1
8362,3785,4.4,4.3,4.4,3
8362,3829,8.9,4.9,1.6,2
8362,4234,7.3,1,5,3
8370,528,7.4,6,5.9,3
8370,540,6.1,7.1,5,1
8370,504,3.9,3.2,6.6,4
8370,541,5.7,3.6,5,2
8370,583,5.8,7,6.1,3
8370,3384,6.1,5,3.5,3
8372,3187,6.2,2.8,5.7,4
8372,3180,5.4,4.3,4.8,3
8372,3214,6.2,4.2,6.4,4
8372,3611,8,1.4,7.2,2
8378,543,6.3,3.1,5,2
8378,589,8.2,6.1,8.8,3
8378,626,8.9,6.9,7,3
8378,615,6.1,5.5,6.3,2
8378,469,7.9,2.2,7.7,1
8378,3637,8.1,1,5,4
8390,1782,5,5,5,1
8390,2243,7.1,6,6.2,1
8390,2059,7.3,5.9,4.2,2
8390,2210,6.8,2.5,1.9,5
8393,630,9,5.6,5,2
8393,469,7.8,2.4,7.5,1
8393,614,7.5,7.5,7.4,1
8393,551,5.8,5,5,2
8394,3246,5,5,5,1
8394,1968,8.5,1.9,5,2
8394,2493,5,5,5,4
8394,2479,6.8,7,6.6,2
8395,2956,6.6,4.1,6,2
8395,3128,7.2,5,5,3
8395,3067,7.3,7.2,5.9,2
8395,2107,8.7,7.1,7.4,2
8395,3155,5,5,5,4
8396,607,8.9,8.3,3.4,2
8396,589,1.8,2.9,1,5
8396,608,5.1,4.9,5.1,4
8396,609,5.9,3.9,5.5,3
8396,640,6.2,3.4,6,1
8401,1350,3.6,3.1,3.8,5
8401,2351,4.4,4.1,5.8,5
8401,1868,1.7,4.3,6,7
8401,1695,5,5,5,5
8402,4185,3.4,3.5,4.2,6
8402,4054,7.5,5.8,6.4,3
8402,4132,5,5,5,4
8402,1298,5,5,5,2
8423,585,3.5,2.9,5,4
8423,581,5.8,5,5,3
8423,587,5,5,5,4
8423,559,5.2,2.1,2.6,5
8423,3946,5.6,4,3.8,4
8424,3638,5,2.2,5.5,4
8424,2047,5,5,5,4
8424,2072,6.1,4.9,2.8,4
8424,1542,5,5,5,3
8425,1860,5,5,5,4
8425,1966,5,5,5,7
8425,1789,5.9,5,5,4
8425,3830,6.9,6.8,6.2,3
8432,4155,5,5,5,4
8432,2918,5.7,6.1,3.8,3
8432,3024,5.2,1.9,3.7,3
8432,2819,7.5,3.4,3.8,3
8438,3971,6.4,1,5,4
8438,3522,5.7,5.8,4.4,3
8438,3518,5,1,5,4
8438,3523,5,5,5,7
8438,3617,8.7,8.5,8.6,3
8443,4167,6.5,4.2,5.1,2
8443,1935,5,5,5,4
8443,1919,5,5,5,4
8443,1895,5,2.6,5,3
8451,2165,8.5,5,5,1
8451,2336,7.4,2.9,3.1,2
8451,2844,6.5,1.7,5,3
8451,3991,7.4,6.6,3.6,2
8455,3708,5,5,5,4
8455,3936,5.7,5,5,3
8455,1712,4.2,4,4.5,5
